,Date,Start,Visitor,VisitorPTS,Home,HomePTS
1,Tue Oct 28 2014,10:30 pm,Houston Rockets,108,Los Angeles Lakers,90
2,Tue Oct 28 2014,8:00 pm,Orlando Magic,84,New Orleans Pelicans,101
3,Tue Oct 28 2014,8:00 pm,Dallas Mavericks,100,San Antonio Spurs,101
4,Wed Oct 29 2014,7:30 pm,Brooklyn Nets,105,Boston Celtics,121
5,Wed Oct 29 2014,7:00 pm,Milwaukee Bucks,106,Charlotte Hornets,108
6,Wed Oct 29 2014,9:00 pm,Detroit Pistons,79,Denver Nuggets,89
7,Wed Oct 29 2014,7:00 pm,Philadelphia 76ers,91,Indiana Pacers,103
8,Wed Oct 29 2014,8:00 pm,Minnesota Timberwolves,101,Memphis Grizzlies,105
9,Wed Oct 29 2014,7:30 pm,Washington Wizards,95,Miami Heat,107
10,Wed Oct 29 2014,8:00 pm,Chicago Bulls,104,New York Knicks,80
11,Wed Oct 29 2014,10:00 pm,Los Angeles Lakers,99,Phoenix Suns,119
12,Wed Oct 29 2014,10:30 pm,Oklahoma City Thunder,89,Portland Trail Blazers,106
13,Wed Oct 29 2014,10:00 pm,Golden State Warriors,95,Sacramento Kings,77
14,Wed Oct 29 2014,7:30 pm,Atlanta Hawks,102,Toronto Raptors,109
15,Wed Oct 29 2014,9:00 pm,Houston Rockets,104,Utah Jazz,93
16,Thu Oct 30 2014,8:00 pm,New York Knicks,95,Cleveland Cavaliers,90
17,Thu Oct 30 2014,8:30 pm,Utah Jazz,102,Dallas Mavericks,120
18,Thu Oct 30 2014,10:30 pm,Oklahoma City Thunder,90,Los Angeles Clippers,93
19,Thu Oct 30 2014,8:00 pm,Detroit Pistons,91,Minnesota Timberwolves,97
20,Thu Oct 30 2014,7:00 pm,Washington Wizards,105,Orlando Magic,98
21,Fri Oct 31 2014,8:00 pm,Cleveland Cavaliers,114,Chicago Bulls,108
22,Fri Oct 31 2014,7:00 pm,Memphis Grizzlies,97,Indiana Pacers,89
23,Fri Oct 31 2014,10:30 pm,Los Angeles Clippers,118,Los Angeles Lakers,111
24,Fri Oct 31 2014,8:30 pm,Philadelphia 76ers,81,Milwaukee Bucks,93
25,Fri Oct 31 2014,10:00 pm,San Antonio Spurs,89,Phoenix Suns,94
26,Fri Oct 31 2014,10:00 pm,Portland Trail Blazers,94,Sacramento Kings,103
28,Sat Nov 1 2014,7:30 pm,Indiana Pacers,92,Atlanta Hawks,102
29,Sat Nov 1 2014,7:00 pm,Memphis Grizzlies,71,Charlotte Hornets,69
30,Sat Nov 1 2014,7:30 pm,Brooklyn Nets,102,Detroit Pistons,90
31,Sat Nov 1 2014,10:30 pm,Los Angeles Lakers,104,Golden State Warriors,127
32,Sat Nov 1 2014,8:00 pm,Boston Celtics,90,Houston Rockets,104
33,Sat Nov 1 2014,8:00 pm,Chicago Bulls,106,Minnesota Timberwolves,105
34,Sat Nov 1 2014,7:00 pm,Dallas Mavericks,109,New Orleans Pelicans,104
35,Sat Nov 1 2014,8:00 pm,Denver Nuggets,91,Oklahoma City Thunder,102
36,Sat Nov 1 2014,7:00 pm,Toronto Raptors,108,Orlando Magic,95
37,Sat Nov 1 2014,7:00 pm,Miami Heat,114,Philadelphia 76ers,96
38,Sat Nov 1 2014,9:00 pm,Phoenix Suns,91,Utah Jazz,118
39,Sat Nov 1 2014,7:00 pm,Milwaukee Bucks,97,Washington Wizards,108
40,Sun Nov 2 2014,3:30 pm,Sacramento Kings,98,Los Angeles Clippers,92
41,Sun Nov 2 2014,6:00 pm,Toronto Raptors,102,Miami Heat,107
42,Sun Nov 2 2014,7:30 pm,Charlotte Hornets,93,New York Knicks,96
43,Sun Nov 2 2014,9:00 pm,Golden State Warriors,95,Portland Trail Blazers,90
44,Mon Nov 3 2014,7:30 pm,Oklahoma City Thunder,85,Brooklyn Nets,116
45,Mon Nov 3 2014,8:30 pm,Boston Celtics,113,Dallas Mavericks,118
46,Mon Nov 3 2014,9:00 pm,Sacramento Kings,110,Denver Nuggets,105
47,Mon Nov 3 2014,10:30 pm,Utah Jazz,101,Los Angeles Clippers,107
48,Mon Nov 3 2014,8:00 pm,New Orleans Pelicans,81,Memphis Grizzlies,93
49,Mon Nov 3 2014,7:00 pm,Houston Rockets,104,Philadelphia 76ers,93
50,Tue Nov 4 2014,8:00 pm,Orlando Magic,90,Chicago Bulls,98
51,Tue Nov 4 2014,7:00 pm,Milwaukee Bucks,87,Indiana Pacers,81
52,Tue Nov 4 2014,10:30 pm,Phoenix Suns,112,Los Angeles Lakers,106
53,Tue Nov 4 2014,7:30 pm,Houston Rockets,108,Miami Heat,91
54,Tue Nov 4 2014,8:00 pm,Charlotte Hornets,91,New Orleans Pelicans,100
55,Tue Nov 4 2014,7:30 pm,Washington Wizards,98,New York Knicks,83
56,Tue Nov 4 2014,10:00 pm,Cleveland Cavaliers,82,Portland Trail Blazers,101
57,Tue Nov 4 2014,7:30 pm,Oklahoma City Thunder,88,Toronto Raptors,100
58,Wed Nov 5 2014,7:30 pm,Toronto Raptors,110,Boston Celtics,107
59,Wed Nov 5 2014,7:30 pm,Minnesota Timberwolves,98,Brooklyn Nets,91
60,Wed Nov 5 2014,7:00 pm,Miami Heat,89,Charlotte Hornets,96
61,Wed Nov 5 2014,7:30 pm,New York Knicks,95,Detroit Pistons,98
62,Wed Nov 5 2014,10:30 pm,Los Angeles Clippers,104,Golden State Warriors,121
63,Wed Nov 5 2014,8:00 pm,Chicago Bulls,95,Milwaukee Bucks,86
64,Wed Nov 5 2014,7:00 pm,Orlando Magic,91,Philadelphia 76ers,89
65,Wed Nov 5 2014,9:00 pm,Memphis Grizzlies,102,Phoenix Suns,91
66,Wed Nov 5 2014,10:00 pm,Denver Nuggets,109,Sacramento Kings,131
67,Wed Nov 5 2014,8:30 pm,Atlanta Hawks,92,San Antonio Spurs,94
68,Wed Nov 5 2014,9:00 pm,Cleveland Cavaliers,100,Utah Jazz,102
69,Wed Nov 5 2014,8:00 pm,Indiana Pacers,94,Washington Wizards,96
70,Thu Nov 6 2014,8:00 pm,San Antonio Spurs,81,Houston Rockets,98
71,Thu Nov 6 2014,10:30 pm,Dallas Mavericks,87,Portland Trail Blazers,108
72,Fri Nov 7 2014,7:30 pm,Indiana Pacers,98,Boston Celtics,101
73,Fri Nov 7 2014,7:30 pm,New York Knicks,99,Brooklyn Nets,110
74,Fri Nov 7 2014,7:00 pm,Atlanta Hawks,119,Charlotte Hornets,122
75,Fri Nov 7 2014,10:30 pm,Cleveland Cavaliers,110,Denver Nuggets,101
76,Fri Nov 7 2014,7:30 pm,Milwaukee Bucks,95,Detroit Pistons,98
77,Fri Nov 7 2014,8:00 pm,Memphis Grizzlies,91,Oklahoma City Thunder,89
78,Fri Nov 7 2014,7:00 pm,Minnesota Timberwolves,103,Orlando Magic,112
79,Fri Nov 7 2014,7:00 pm,Chicago Bulls,118,Philadelphia 76ers,115
80,Fri Nov 7 2014,9:00 pm,Sacramento Kings,114,Phoenix Suns,112
81,Fri Nov 7 2014,7:30 pm,Washington Wizards,84,Toronto Raptors,103
82,Fri Nov 7 2014,9:00 pm,Dallas Mavericks,105,Utah Jazz,82
83,Sat Nov 8 2014,7:30 pm,New York Knicks,96,Atlanta Hawks,103
84,Sat Nov 8 2014,8:00 pm,Boston Celtics,106,Chicago Bulls,101
85,Sat Nov 8 2014,8:00 pm,Golden State Warriors,98,Houston Rockets,87
86,Sat Nov 8 2014,7:00 pm,Washington Wizards,97,Indiana Pacers,90
87,Sat Nov 8 2014,3:30 pm,Portland Trail Blazers,102,Los Angeles Clippers,106
88,Sat Nov 8 2014,7:30 pm,Minnesota Timberwolves,92,Miami Heat,102
89,Sat Nov 8 2014,8:30 pm,Memphis Grizzlies,92,Milwaukee Bucks,93
90,Sat Nov 8 2014,8:30 pm,New Orleans Pelicans,100,San Antonio Spurs,99
